Beta,SysCall ID
0,84
16,232
10,16
0,17
1,62
0,5
1,17
0,17
0,108
0,3
0,73
1,73
1,20
0,9
0,4
0,17
0,80
0,108
1,8
0,21
2,14
0,8
0,1
0,8
0,1
0,8
0,1
2,8
0,1
0,8
0,1
0,8
1,1
0,8
0,1
0,8
109,1
0,8
0,1
0,8
0,1
1,8
1,1
0,8
0,1
1,8
0,1
0,21
2,8
7,1
0,8
0,1
0,8
0,1
0,8
15,5
1,3
0,36
81,1
1,8
0,1
0,8
0,1
0,8
1,1
0,8
0,1
1,8
0,1
1,21
3,8
8,1
0,8
0,1
0,8
0,1
0,8
27,1
0,8
0,1
0,8
0,1
0,8
1,1
0,8
0,1
1,8
0,1
0,8
0,1
1,21
0,8
5,1
0,8
0,1
1,8
0,1
0,8
31,1
0,8
0,1
1,8
0,1
0,8
0,1
1,8
0,1
1,8
0,1
0,8
0,1
2,21
2,8
5,1
0,8
1,1
0,8
0,1
0,8
32,1
0,8
0,1
0,8
0,1
0,8
1,1
1,8
0,1
0,8
0,1
0,8
1,1
1,21
2,8
7,1
0,8
0,1
0,8
0,1
0,8
2,5
0,3
1,36
49,1
0,8
0,1
1,8
0,1
0,8
0,1
1,21
0,3
1,9
0,2
2,4
0,17
0,14
2,5
0,5
1,5
0,5
1,15
0,58
7,15
0,110
2,62
1,187
2,1
0,8
0,1
0,8
0,1
0,8
2,15
3,40
0,110
0,17
0,14
0,14
0,14
0,14
0,14
1,60
28,159
0,219
2,3
1,3
1,3
1,3
53,73
0,6
0,1
7,10
0,10
9,10
12,4
162,11
2,11
0,11
44,17
20,10
14,13
0,13
43,13
10,13
13,13
12,13
13,13
18,13
16,13
36,13
9,13
12,13
9,13
11,13
4,13
9,13
16,13
7,13
9,13
14,13
6,13
12,13
5,13
4,13
31,13
1,13
17,6
0,6
0,6
0,6
3,5
0,5
0,5
1,5
2,90
0,90
0,90
1,5
1,5
0,5
1,5
67,5
2,5
0,5
13,13
5,10
1,12
0,10
1,12
0,10
2,13
6,13
44,13
28,13
27,13
5,13
16,14
0,14
0,40
2,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
1,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
1,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
1,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,15
0,14
19,13
2,13
3,5
1,5
0,5
1,5
0,5
1,5
